ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev
Counter-Strike: Global Offensive,Adventure,2012-08-21,14.99,84,23360138
Grim Dawn,Adventure,2016-02-25,24.99,88,560193
Outland,Adventure,2014-09-29,9.99,56,254235
DOOM II: Hell on Earth,Adventure,2007-08-03,4.99,81,422205
Skullgirls,Adventure,2013-08-22,9.99,90,766737
Unreal Tournament 3: Black Edition,Adventure,2009-03-05,19.99,81,616651
SMITE,Adventure,2015-09-08,Free,61,3723224
Gunpoint,Adventure,2013-06-03,9.99,98,722202
Deus Ex: Mankind Divided,Adventure,2016-08-23,59.99,24,315426
Alan Wake,Adventure,2012-02-16,29.99,81,1630784
Beyond Sol,Adventure,2015-10-13,10.99,66,4208
Prince of Persia: Warrior Within,Adventure,2008-11-21,9.99,69,198303
Tales from Space: Mutant Blobs Attack,Adventure,2012-08-15,7.99,88,157450
Fable - The Lost Chapters,Adventure,2011-12-19,9.99,84,653120
Darksiders,Adventure,2010-09-22,19.99,75,2346674
DarkMaus,Adventure,2016-01-26,6.69,78,12975
HELLDIVERS,Adventure,2015-12-07,19.99,84,266333
Tomb Raider: Anniversary,Adventure,2007-06-05,8.99,66,816882
Door Kickers,Adventure,2014-10-20,19.99,93,359435
METAL GEAR RISING: REVENGEANCE,Adventure,2014-01-09,29.99,84,600169
Monaco,Adventure,2013-04-24,14.99,81,1284499
Terraria,Adventure,2011-05-16,9.99,96,7650186
Stick It To The Man!,Adventure,2013-12-13,14.99,93,49094
Orcs Must Die! 2,Adventure,2012-11-22,24.99,96,2237616
Independence War 2: Edge of Chaos,Adventure,2015-05-07,5.99,N/A,2455
Devil Daggers,Adventure,2016-02-18,4.99,96,58737
Terrian Saga: KR-17,Adventure,2014-07-09,4.99,41,51022
Valdis Story: Abyssal City,Adventure,2013-10-30,14.99,66,173406
Cave Story+,Adventure,2011-11-22,14.99,96,747099
Call of Duty: World at War,Adventure,2008-11-18,19.99,88,1389700
Transistor,Adventure,2014-05-20,19.99,93,1052181
MDK 2,Adventure,2009-09-17,9.99,69,18410
SteamWorld Heist,Adventure,2016-06-07,19.99,99,18585
Orcs Must Die!,Adventure,2011-10-11,9.99,98,1429676
Broforce,Adventure,2015-10-15,14.99,98,771296
ibb & obb,Adventure,2014-05-26,11.99,90,220571
Silent Storm,Adventure,2013-10-02,2.49,81,100642
Mr. Robot,Adventure,2008-11-03,9.99,49,42256
Act of War: Direct Action,Adventure,2008-03-12,2.99,47,21917
Red Faction: Guerrilla Steam Edition,Adventure,2009-09-15,19.99,75,982573
Tomb Raider: Legend,Adventure,2007-03-29,6.99,69,781290
Tom Clancy's Ghost Recon: Desert Siege,Adventure,2008-07-15,4.99,N/A,94856
Prince of Persia,Adventure,2008-12-10,9.99,45,249150
The Next Penelope,Adventure,2015-05-29,12.99,56,25949
Blood: One Unit Whole Blood,Adventure,2014-07-14,4.99,78,35242
Resident Evil / biohazard HD REMASTER,Adventure,2015-01-19,19.99,75,243890
S.T.A.L.K.E.R.: Shadow of Chernobyl,Adventure,2007-03-20,19.99,90,967319
Waves,Adventure,2011-11-16,4.99,90,108707
Kero Blaster,Adventure,2015-11-11,9.99,96,10871
OlliOlli2: Welcome to Olliwood,Adventure,2015-08-11,14.99,66,54880
Hitman: Blood Money,Adventure,2007-03-15,8.99,90,1326755
Lara Croft and the Guardian of Light,Adventure,2010-09-28,9.99,84,929447
Monday Night Combat,Adventure,2011-01-24,4.99,49,301750
Joe Danger 2: The Movie,Adventure,2013-06-24,14.99,17,295614
Realm of the Mad God,Adventure,2012-02-20,Free,56,2565667
Lethal League,Adventure,2014-08-27,13.99,93,454291
BLACKHOLE,Adventure,2015-02-27,8.99,90,9468
Bulletstorm,Adventure,2011-02-21,19.99,47,368202
"Invisible, Inc.",Adventure,2015-05-12,19.99,88,205842
Duck Game,Adventure,2015-06-04,12.99,93,281938
SUPERHOT,Adventure,2016-02-25,24.99,64,225129
Tom Clancy's Ghost Recon: Island Thunder,Adventure,2008-07-15,4.99,N/A,95382
Wizorb,Adventure,2012-03-14,2.99,32,249501
Starbound,Adventure,2016-07-22,12.74,75,2357720
Kingdoms of Amalur: Reckoning,Adventure,2012-02-07,19.99,72,773750
Quake 4,Adventure,2011-08-04,14.99,72,174282
Far Cry 3 Blood Dragon,Adventure,2013-05-01,14.99,72,1171408
Lone Survivor: The Director's Cut,Adventure,2012-04-23,14.99,72,568434
Freedom Planet,Adventure,2014-07-21,14.99,96,224253
Alien: Isolation,Adventure,2014-10-06,39.99,84,848618
The Bug Butcher,Adventure,2016-01-19,7.99,90,30157
Mirror's Edge,Adventure,2009-01-14,19.99,75,2679459
Marvel Heroes 2015,Adventure,2013-06-03,Free,52,4662665
Call of Duty: Black Ops - Multiplayer,Adventure,2010-11-09,39.99,N/A,3455839
Painkiller: Black Edition,Adventure,2007-01-24,9.99,88,312972
VVVVVV,Adventure,2010-09-07,4.99,96,922083
Kalimba,Adventure,2015-04-22,9.99,88,5435
Rochard,Adventure,2011-11-15,9.99,81,420802
Star Wars Jedi Knight: Jedi Academy,Adventure,2009-09-16,9.99,88,1449138
Zombie Night Terror,Adventure,2016-07-20,12.99,N/A,16481
Borderlands,Adventure,2009-10-26,19.99,90,2956136
Dungeon Defenders,Adventure,2011-10-18,14.99,84,1897117
