ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev 
Poly Bridge,Simulation,2016-07-12,11.99,75,199530
Qvadriga,Simulation,2014-06-13,19.99,54,24547
Blazing Angels 2: Secret Missions of WWII,Simulation,2008-05-13,9.99,N/A,19988
Cities in Motion 2,Simulation,2013-04-02,19.99,17,675037
Gratuitous Space Battles,Simulation,2009-11-16,14.99,41,540731
Majesty 2,Simulation,2009-09-17,9.99,39,101343
Valentino Rossi The Game,Simulation,2016-06-16,49.99,54,5085
The Last Federation,Simulation,2014-04-18,19.99,39,82582
DUNGEONS - The Dark Lord (Steam Special Edition),Simulation,2011-09-27,19.99,5,162710
Anno 2205,Simulation,2015-11-02,39.99,15,85738
Grand Ages: Rome,Simulation,2009-03-20,9.99,38,199004
Big Pharma,Simulation,2015-08-27,24.99,47,92051
MX vs. ATV Unleashed,Simulation,2015-04-16,9.99,28,22793
Dyscourse,Simulation,2015-03-25,14.99,52,55932
Toy Soldiers,Simulation,2012-04-27,9.99,78,216187
To End All Wars,Simulation,2014-08-29,39.99,32,10169
The Escapists,Simulation,2015-02-13,17.99,81,761301
Surgeon Simulator,Simulation,2013-04-19,9.99,59,1618686
Star Wars Starfighter,Simulation,2009-07-08,5.99,8,731144
March of the Eagles,Simulation,2013-02-18,19.99,28,78024
Cities in Motion,Simulation,2011-02-22,19.99,43,253007
Democracy 3,Simulation,2013-10-14,24.99,45,481819
WWE 2K15,Simulation,2015-04-28,49.99,30,89245
Echelon,Simulation,2014-07-03,3.99,7,24196
Spore: Galactic Adventures,Simulation,2009-06-23,19.99,47,682576
Planetbase,Simulation,2015-10-15,19.99,49,200933
Steel Armor - Blaze of War,Simulation,2015-03-05,29.99,52,4909
Verdun,Simulation,2015-04-28,24.99,66,490235
Fate of the World,Simulation,2011-02-28,9.99,47,80128
Take On Helicopters,Simulation,2011-10-27,19.99,13,319634
Sengoku,Simulation,2011-09-15,9.99,28,116597
Dungeons 2,Simulation,2015-04-24,29.99,36,126241
The Golf Club,Simulation,2014-08-19,29.99,23,40327
Pride of Nations,Simulation,2011-06-07,19.99,N/A,27703
Starpoint Gemini 2,Simulation,2014-09-26,34.99,38,237929
Evochron Mercenary,Simulation,2012-01-16,19.99,52,91700
Panzer Tactics HD,Simulation,2014-05-22,9.99,36,26125
Basketball Pro Management 2015,Simulation,2014-11-19,19.99,6,3682
Holy Potatoes! A Weapon Shop!,Simulation,2015-07-13,14.99,43,116247
Train Valley,Simulation,2015-09-16,9.99,84,25599
Star Hammer: The Vanguard Prophecy ,Simulation,2015-06-04,14.99,59,7890
TransOcean 2: Rivals,Simulation,2016-05-10,18.74,9,13851
Valhalla Hills,Simulation,2015-12-02,29.99,31,23319
Gratuitous Tank Battles,Simulation,2012-05-17,9.99,14,66452
Ashes of the Singularity,Simulation,2016-03-31,39.99,31,87842
RIDE: Game,Simulation,2015-03-27,39.99,34,37171
Pure Pool,Simulation,2014-07-31,12.99,13,12098
Hatoful Boyfriend,Simulation,2014-09-04,9.99,88,247572
Men of War: Assault Squad 2,Simulation,2014-05-15,29.99,54,417646
Space Rangers HD: A War Apart,Simulation,2013-10-17,14.99,90,145703
Job Simulator,Simulation,2016-04-05,29.99,69,97135
FIM Speedway Grand Prix 15,Simulation,2015-11-30,24.99,72,8942
Game Dev Tycoon,Simulation,2013-08-29,9.99,93,1201741
Five Nights at Freddy's 3,Simulation,2015-03-02,7.99,75,296490
The Solus Project,Simulation,2016-06-07,19.99,54,59263
Car Mechanic Simulator 2015,Simulation,2015-04-23,19.99,84,274924
Pacific Storm,Simulation,2008-06-24,1.59,N/A,54529
SimplePlanes,Simulation,2015-12-17,12.99,84,117299
X: Beyond the Frontier,Simulation,2010-10-08,4.99,39,202511
Spintires,Simulation,2014-06-12,29.99,66,777608
Long Live The Queen,Simulation,2013-11-08,9.99,90,315952
Faces of War,Simulation,2014-04-16,4.99,66,51022
Little King's Story,Simulation,2016-08-05,24.99,26,1929
Train Fever,Simulation,2014-09-04,29.99,25,147105
Tycoon City: New York,Simulation,2008-03-12,9.99,5,23670
Light of Altair,Simulation,2009-06-04,14.99,N/A,20689
Absolute Drift,Simulation,2015-07-29,11.99,69,105902
Age of Mythology: Extended Edition,Simulation,2014-05-08,29.99,56,906829
Rise of Venice,Simulation,2013-09-27,24.99,15,66627
Rogue State,Simulation,2015-10-16,12.99,45,14027
Battleplan: American Civil War,Simulation,2014-07-04,9.99,20,39626
Sunset,Simulation,2015-05-21,19.99,28,17709
Strike Suit Zero,Simulation,2013-01-23,19.99,49,472877
Stronghold Crusader 2,Simulation,2014-09-22,49.99,18,297893
Lethis - Path of Progress,Simulation,2015-06-25,19.99,41,21215
Air Conflicts - Secret Wars,Simulation,2011-09-30,7.99,18,77322
Lords of the Realm III,Simulation,2015-12-03,4.99,N/A,13150
Guns of Icarus Online,Simulation,2012-10-29,9.99,90,1272752
Farming Simulator 15,Simulation,2014-10-30,12.49,78,635411
Skyward Collapse,Simulation,2013-05-23,4.99,7,100116
Pro Cycling Manager 2016,Simulation,2016-06-16,19.99,11,32262
Restaurant Empire II,Simulation,2009-05-27,19.99,15,53828
Echelon: Wind Warriors,Simulation,2014-08-08,3.99,N/A,6663
Imperium Romanum: Gold Edition,Simulation,2008-11-25,9.99,54,139040
The Westport Independent,Simulation,2016-01-21,9.99,17,5786
Jagged Alliance: Crossfire,Simulation,2012-08-24,14.99,19,113617
Grand Ages: Medieval,Simulation,2015-09-25,29.99,7,58737
Theatre of War 2: Africa 1943,Simulation,2010-07-09,8.99,25,95557
The Guild II - Pirates of the European Seas,Simulation,2010-06-24,9.99,30,293685
Storm,Simulation,2013-06-27,9.99,36,19462
Life is Feudal: Your Own,Simulation,2015-11-17,39.99,28,375566
Redshirt,Simulation,2013-11-13,9.99,6,54354
Silent Hunter 5: Battle of the Atlantic,Simulation,2010-03-01,9.99,8,77498
Jagged Alliance - Back in Action,Simulation,2012-02-08,19.99,26,263177
Bientt l't,Simulation,2013-02-06,9.99,7,27703
Wings Over Europe,Simulation,2014-05-30,9.99,15,4909
Goat Simulator,Simulation,2014-04-01,9.99,72,2425925
Buzz Aldrin's Space Program Manager,Simulation,2014-10-31,29.99,49,14027
Rig 'n' Roll,Simulation,2010-07-09,9.99,9,69432
Into the Stars,Simulation,2016-03-04,19.99,13,15780
Wings! Remastered Edition,Simulation,2014-10-17,14.99,49,30859
Bus Driver,Simulation,2014-06-03,9.99,28,265281
Dream Pinball 3D,Simulation,2012-09-19,6.99,2,113967
The Guild II,Simulation,2010-06-24,9.99,26,483221
IL-2 Sturmovik: Cliffs of Dover,Simulation,2011-07-19,9.99,28,208122
Rigonauts,Simulation,2012-08-07,9.99,N/A,21040
Off-Road Drive,Simulation,2011-09-29,6.99,22,62419
I am Bread,Simulation,2015-04-09,12.99,47,459727
Pacific Storm: Allies,Simulation,2008-08-18,1.59,17,58036
Orbital Gear,Simulation,2014-08-07,0.99,64,254585
No Pineapple Left Behind,Simulation,2016-02-18,9.99,N/A,8416
Zoo Empire,Simulation,2015-09-03,6.99,N/A,7890
VoidExpanse,Simulation,2015-04-02,14.99,32,32086
Time Machine VR,Simulation,2016-05-19,29.99,28,7539
Urban Trial Freestyle,Simulation,2013-09-18,6.99,52,166392
Hotel Giant 2,Simulation,2010-01-27,7.99,6,38398
Marine Park Empire,Simulation,2015-09-03,6.99,N/A,9468
SOL: Exodus,Simulation,2012-01-25,7.99,10,64698
Nether,Simulation,2014-06-05,4.99,9,664166
Airline Tycoon 2,Simulation,2011-10-24,9.99,0,108181
Vector Thrust,Simulation,2015-07-02,24.99,19,30859
The Guild II: Renaissance,Simulation,2010-07-28,9.99,54,353299
Fair Strike,Simulation,2015-04-23,3.99,N/A,5611
OmniBus,Simulation,2016-05-26,9.99,75,4033
Iron Front : Liberation 1944,Simulation,2012-05-25,14.99,24,75744
M.U.D. TV,Simulation,2010-04-19,9.99,7,46464
Planar Conquest,Simulation,2016-05-30,24.99,38,16131
Lords of Football,Simulation,2013-04-05,14.99,9,41905
Miner Wars 2081,Simulation,2012-11-28,9.99,4,87316
Hospital Tycoon,Simulation,2009-02-13,4.99,5,203738
Railroad Pioneer,Simulation,2014-07-01,4.99,18,17007
Adventure Park,Simulation,2013-11-08,19.99,0,22969
theHunter: Primal,Simulation,2015-03-31,9.99,23,156223
Spacebase DF-9,Simulation,2014-10-27,9.99,1,166743
Ship Simulator Extremes,Simulation,2010-08-27,19.99,9,191290
Lucius II,Simulation,2015-02-13,19.99,17,72939
Cities XXL,Simulation,2015-02-05,7.49,2,99765
Coast Guard,Simulation,2015-10-21,14.99,22,8065
Starpoint Gemini,Simulation,2012-02-16,13.99,4,52600
Viridi,Simulation,2015-08-19,Free,72,489007
Air Conflicts: Vietnam,Simulation,2013-10-02,17.99,2,26300
Brigade E5: New Jagged Union,Simulation,2014-04-30,3.99,N/A,18235
Super Duper Party Pooper,Simulation,2016-06-06,0.99,66,9643
Making History II: The War of the World,Simulation,2010-08-27,14.99,45,39976
Takedown: Red Sabre,Simulation,2014-02-10,4.99,5,228461
X Rebirth,Simulation,2013-11-15,29.99,4,203738
Rebel Galaxy,Simulation,2015-10-20,19.99,69,179367
The Pirate: Caribbean Hunt,Simulation,2016-08-24,Free,47,153242
ACE Academy,Simulation,2016-08-22,24.99,98,4734
Cat President ~A More Purrfect Union~,Simulation,2016-08-23,8.99,N/A,514
Hearthlands,Simulation,2014-12-12,11.99,88,15780
A Verdant Hue,Simulation,2016-07-26,14.99,N/A,1753
Retro-Pixel Castles,Simulation,2014-10-27,9.99,66,39100
Shadows of Kurgansk,Simulation,2016-07-14,14.99,N/A,4033
Supreme,Simulation,2015-01-09,9.99,28,4033
Final Approach: Pilot Edition,Simulation,2016-06-22,24.99,N/A,14903
Cheaters Blackjack 21,Simulation,2016-06-07,3.99,N/A,3507
Wildlife Park 2,Simulation,2014-07-17,6.99,31,38048
Music Wars Empire,Simulation,2016-06-01,14.99,N/A,5786
VR Regatta,Simulation,2016-05-31,Free,N/A,18585
"7,62 High Calibre",Simulation,2014-04-30,4.99,41,35067
Snooker Nation Championship,Simulation,2016-04-27,4.99,45,4734
Vilmonic,Simulation,2016-06-15,9.99,N/A,2104
Stock Car Extreme,Simulation,2015-02-11,9.99,78,17533
The Sandbox,Simulation,2015-06-29,4.99,23,23144
Professional Farmer 2014,Simulation,2013-11-27,14.99,9,215135
PITCH-HIT : RAMPAGE LEVEL,Simulation,2016-04-05,Free,N/A,57334
Railroad X,Simulation,2014-06-09,39.99,N/A,2630
"Hot Dogs, Horseshoes & Hand Grenades",Simulation,2016-04-05,19.99,93,23144
New York Taxi Simulator,Simulation,2016-03-04,4.99,N/A,5611
Sunrider: Liberation Day,Simulation,2016-03-04,24.99,61,9994
Northern Tale,Simulation,2016-02-09,2.99,N/A,1599
Fear Equation,Simulation,2016-01-15,14.99,N/A,2981
Blood of Magic,Simulation,2015-12-18,9.99,N/A,1929
Star Nomad 2,Simulation,2015-12-14,12.99,43,3857
Prison Tycoon 4: Supermax,Simulation,0000-00-00,24.99,N/A,20339
Sickness,Simulation,2016-01-20,14.99,88,17358
Jane's Realty,Simulation,2015-10-21,2.99,N/A,1332
Dead But Alive! Southern England,Simulation,2015-10-02,14.99,N/A,5085
Game Corp DX,Simulation,2015-10-02,2.99,72,59088
Sakura Beach,Simulation,2015-08-14,9.99,47,49620
Sky Rogue,Simulation,2015-07-30,9.99,84,15254
Pulsen,Simulation,2015-07-27,14.99,N/A,533
Eisenbahn X,Simulation,2015-06-08,39.99,N/A,799
new DREAMFLIGHT VR:For Oculus Rift,Simulation,2015-05-21,4.99,N/A,4208
Zotrix,Simulation,2015-07-24,12.99,31,17358
Spaaace,Simulation,2016-08-15,3.99,N/A,514
ATLAS ,Simulation,2015-01-08,24.99,N/A,1403
Jurassic Survival,Simulation,2016-08-01,8.99,N/A,3682
Silent Service 2,Simulation,2014-11-06,6.99,N/A,12449
Copter and Sky,Simulation,2016-07-21,3.99,N/A,533
Dandelion - Wishes brought to you -,Simulation,2014-09-29,29.99,84,12098
Klepto,Simulation,2016-06-30,12.99,13,877
Time Tenshi 2,Simulation,2016-06-14,9.99,N/A,2981
The Howler,Simulation,2016-04-21,0.5,52,331732
Hero Generations: ReGen,Simulation,2016-08-19,14.99,N/A,1403
Pixel Day - Gun Z,Simulation,2016-05-20,0.99,1,4208
Always Remember Me,Simulation,2014-04-18,17.99,19,17183
Worlds Adrift Island Creator,Simulation,2016-04-28,Free,72,59789
Showtime!,Simulation,2014-05-23,5.99,24,44886
3 Coins At School,Simulation,2016-04-20,4.99,N/A,2455
Post Master ,Simulation,2014-03-07,4.99,7,72062
Airport Simulator 2014,Simulation,2013-12-19,9.99,0,71536
Rescue: Everyday Heroes,Simulation,2013-12-11,9.99,17,71712
"Forgotten, Not Lost - A Kinetic Novel",Simulation,2016-04-01,1.99,93,9643
DrawnÂ®: Dark Flightâ„¢ Collector's Edition,Simulation,2016-03-08,11.99,N/A,1027
Gnomoria,Simulation,2016-02-23,14.99,64,249676
Story Of the Survivor,Simulation,2016-02-16,2.99,N/A,14728
Pitstop Challenge,Simulation,2016-02-01,9.99,N/A,533
Falcon A.T.,Simulation,2016-01-08,6.99,N/A,4208
Major\Minor,Simulation,2016-05-01,9.99,47,5786
Chocolatier: Decadence by Design,Simulation,2009-08-12,9.99,N/A,6487
Starlord,Simulation,2015-11-13,6.99,N/A,5786
SimCity 4 Deluxe,Simulation,2010-07-20,19.99,43,1085845
Cannibal,Simulation,2015-10-28,13.99,N/A,799
Petz Catz 2,Simulation,2008-06-13,9.99,59,8942
The Grand Canyon VR Experience,Simulation,2015-10-09,4.99,N/A,3857
Black Closet,Simulation,2015-09-16,19.99,96,6663
Doodle God,Simulation,2015-09-24,5.99,30,43308
Asphyxia,Simulation,2015-08-04,5.99,34,27878
Hack Run ZERO,Simulation,2015-07-13,4.99,N/A,5611
Pizza Express,Simulation,2015-06-25,6.99,56,18235
East Tower - Takashi,Simulation,2015-05-27,5.99,N/A,10520
Star Trek: Judgment Rites,Simulation,2015-05-08,5.99,N/A,4909
Earthtongue,Simulation,2015-04-27,4.99,88,4033
WOC_Basic,Simulation,2015-04-02,12.99,N/A,1403
Kitty Powers' Matchmaker,Simulation,2015-04-22,9.99,93,37697
Dungeon Journey,Simulation,2016-06-03,1.99,64,18936
Mini Attack Submarine,Simulation,2016-05-27,0.99,2,62244
Epic Space: Online,Simulation,2014-05-08,14.99,1,2279
MechoEcho,Simulation,2016-05-18,18.99,N/A,514
Gunship!,Simulation,2014-07-11,6.99,N/A,16481
JiPS,Simulation,2016-04-19,1.49,N/A,1227
Gardens Inc.  From Rakes to Riches,Simulation,2014-03-25,9.99,N/A,3507
Car Mechanic Simulator 2014,Simulation,2014-01-24,6.99,54,336466
Pro Cycling Manager 2014,Simulation,2014-06-19,2.99,26,30684
XLR,Simulation,2016-04-05,4.99,N/A,4559
Ice Lakes,Simulation,2016-04-19,14.99,64,3682
AsteroidsHD,Simulation,2016-03-04,0.99,N/A,12449
Hegemony Rome: The Rise of Caesar,Simulation,2014-05-15,19.99,25,52074
VALENS,Simulation,2016-02-18,7.99,N/A,1027
Damage Inc,Simulation,2012-08-28,39.99,N/A,2279
Time of Dragons,Simulation,2016-02-01,Free,32,474630
Feed and Grow: Fish,Simulation,2016-01-08,14.99,41,22793
Starship Corporation,Simulation,2016-04-29,19.99,26,5435
Build-A-Lot 3,Simulation,2009-12-17,9.99,N/A,5786
Back to Dinosaur Island ,Simulation,2015-11-18,Free,15,434128
MiG-29 Fulcrum,Simulation,2009-06-01,9.99,N/A,12799
Brilliant Shadows - Part One of the Book of Gray Magic,Simulation,2015-11-02,6.99,96,3682
Virtual Villagers 2: The Lost Children,Simulation,2008-05-12,9.99,N/A,7539
Command: Northern Inferno,Simulation,2015-10-22,19.99,N/A,6487
SC2VN - The eSports Visual Novel,Simulation,2015-09-22,Free,88,108532
Dungeon Manager ZV,Simulation,2015-10-16,9.99,31,2455
Dragonflight,Simulation,2015-08-31,15.99,43,3156
Attrition: Nuclear Domination,Simulation,2015-08-07,0.99,3,157450
Volstead,Simulation,2015-06-25,2.99,N/A,12624
Sirius Online,Simulation,2015-06-01,Free,22,75218
Carnivores: Dinosaur Hunter Reborn,Simulation,2015-05-27,14.99,47,23845
Selfie: Sisters of the Amniotic Lens,Simulation,2015-05-08,4.99,28,13676
Fortune's Tavern - The Fantasy Tavern Simulator!,Simulation,2015-03-05,4.99,6,38398
Evolution II: Fighting for Survival,Simulation,2015-02-12,2.99,N/A,1753
Intensive Exposure,Simulation,2016-09-06,3.99,N/A,1066
Legends of Azulgar,Simulation,2016-08-18,Free,N/A,5260
Survivalist,Simulation,2015-01-30,4.99,56,138514
Kingdom: New Lands,Simulation,2016-08-09,14.99,81,223376
Movie Studio Boss: The Sequel,Simulation,2014-12-17,9.99,N/A,7539
911: First Responders,Simulation,2014-09-25,4.99,64,34015
Aqua Moto Racing Utopia,Simulation,2016-07-13,19.99,N/A,514
Forsaken Uprising,Simulation,2014-12-03,2.99,3,165691
Savage Lands,Simulation,2015-03-05,14.99,28,456044
Krog Wars,Simulation,2016-04-12,3.99,3,100291
Zafehouse: Diaries,Simulation,2013-09-06,9.99,31,57860
WolfQuest,Simulation,2016-03-25,9.99,69,14903
Banished,Simulation,2014-02-18,19.99,78,1532246
Campgrounds: The Endorus Expedition Collector's Edition,Simulation,2016-03-03,9.99,N/A,533
Atlantic Fleet,Simulation,2016-02-25,9.99,66,26651
Rocksmith 2014,Simulation,2013-10-22,39.99,84,510223
Air Missions: HIND,Simulation,2016-03-21,16.99,72,2805
Moon Breakers,Simulation,2012-05-17,Free,18,309114
Governor of Poker 2: Premium Edition,Simulation,2010-10-11,14.99,64,37171
The Isle,Simulation,2015-12-01,19.99,30,58211
The Great Art Race,Simulation,0000-00-00,7.99,34,70835
Concealed Intent,Simulation,2016-08-02,14.99,N/A,1052
Lovely Weather We're Having,Simulation,2015-11-10,7.99,N/A,2981
GTR 2 - FIA GT Racing Game,Simulation,2012-12-12,7.99,90,89070
Expert Rifleman - Reloaded,Simulation,2015-08-14,14.99,N/A,10345
Empyrion - Galactic Survival,Simulation,2015-08-05,19.99,61,227058
Anno Online,Simulation,2015-07-01,Free,11,344883
AdvertCity,Simulation,2015-06-05,19.99,34,9117
Final Strike,Simulation,2016-06-23,9.99,N/A,1541
Balls of Steel,Simulation,2014-05-05,3.74,N/A,63997
Tea Party Simulator 2015,Simulation,2015-04-23,9.99,34,124137
Eastside Hockey Manager: Early Access,Simulation,2015-12-01,19.99,66,136585
Sbastien Loeb Rally EVO,Simulation,2016-01-29,49.99,15,10871
18 Wheels of Steel: Convoy,Simulation,2016-09-02,9.99,N/A,514
TRIP:Steam Edition,Simulation,2015-06-19,6.99,5,28053
Space Ribbon,Simulation,2016-08-05,14.99,N/A,514
Cell HD: emergence,Simulation,2015-02-19,5.99,N/A,1066
Cinemaware Anthology: 1986-1991,Simulation,2014-11-14,9.99,N/A,8591
Onward,Simulation,2016-08-29,24.99,N/A,8767
Uncharted Waters Online: Gran Atlas,Simulation,2014-10-03,Free,24,236701
Flight 787 - Advanced,Simulation,2016-06-21,15.99,N/A,1027
Snow Fortress,Simulation,2016-06-09,9.99,N/A,1929
Roadside Assistance Simulator,Simulation,2014-09-25,9.99,N/A,10871
Lightsaber VR,Simulation,2016-05-31,3.99,56,21391
Hero Generations,Simulation,2015-04-10,5.99,19,14553
New Yankee in Santa's Service,Simulation,2016-05-12,4.99,N/A,514
Ampu-Tea,Simulation,2014-05-30,4.99,20,133254
Heaven Island Life,Simulation,2016-04-21,0.99,12,179016
Formula Truck 2013,Simulation,2015-02-02,7.49,54,9293
Turbo Dismount,Simulation,2014-05-21,9.99,88,328050
Farming Simulator 2011,Simulation,2010-10-29,9.99,66,80654
Drift Streets Japan,Simulation,2015-12-21,4.99,41,118877
Invasion: Brain Craving,Simulation,2016-06-22,0.99,7,97135
Max's Big Bust - A Captain Nekorai Tale,Simulation,2015-11-10,29.99,N/A,2131
Trainz: Classic Cabon City,Simulation,2010-09-01,19.99,N/A,29281
The Living Dungeon,Simulation,2015-11-02,19.99,N/A,12273
Fetch It Again,Simulation,2009-07-17,6.99,N/A,1052
Vector 36,Simulation,2015-10-21,14.99,41,2455
Painters Guild,Simulation,2015-09-01,9.99,32,13851
Devils Share,Simulation,2015-07-31,0.99,3,151664
Flight Unlimited Las Vegas,Simulation,2015-07-08,2.99,N/A,1403
Home Improvisation,Simulation,2016-07-28,9.99,38,9643
Star Trek: 25th Anniversary,Simulation,2015-05-07,5.99,N/A,5435
Broadsword : Age of Chivalry,Simulation,2015-05-15,19.99,3,79426
Hyperspeed,Simulation,2015-04-01,6.99,N/A,5786
World of Mixed Martial Arts 3,Simulation,2015-03-19,19.99,41,9643
GE Neuro,Simulation,2016-09-05,Free,N/A,2455
Life is Feudal: Forest Village,Simulation,2016-08-26,24.99,32,19111
HIS (Heroes In the Sky),Simulation,2015-03-03,Free,6,214083
Independence War Deluxe Edition,Simulation,2016-08-10,5.99,N/A,514
The Mims Beginning,Simulation,2016-05-18,19.99,59,4734
Russian VR Coasters,Simulation,2016-07-27,5.17,N/A,1332
Jockey Rush,Simulation,2016-07-15,19.99,N/A,514
Bunker Constructor,Simulation,2016-06-24,3.49,N/A,877
Data Hacker: Initiation,Simulation,2014-07-21,2.99,23,124312
Video blogger Story,Simulation,2016-06-13,6.99,59,8942
Heileen 3: New Horizons,Simulation,2014-07-17,24.99,26,20339
Anomalie,Simulation,2016-06-03,4.99,N/A,514
Undermind,Simulation,2016-06-10,0.89,N/A,9994
LogicBots,Simulation,2014-09-22,19.99,N/A,1403
3030 Deathwar Redux,Simulation,2016-04-28,12.99,96,2455
Unclaimed World,Simulation,2014-03-26,18.99,30,5435
Tyto Ecology,Simulation,2016-04-14,6.99,49,11221
Mechs & Mercs: Black Talons,Simulation,2015-01-09,9.99,9,9117
Helicopter Simulator 2014: Search and Rescue,Simulation,2014-02-28,6.99,2,49620
Fading Hearts,Simulation,2014-02-05,14.99,31,16657
HACK_IT,Simulation,2016-05-05,4.99,1,2664
Construction Machines 2014,Simulation,2014-03-28,6.99,0,43834
Capitalism Plus,Simulation,2016-03-22,5.99,N/A,2279
Cue Club 2,Simulation,2016-03-07,18.99,N/A,1052
Bear Simulator,Simulation,2016-02-26,14.99,61,6487
Bubonic: OutBreak,Simulation,2016-02-12,4.99,N/A,1027
Pro Cycling Manager 2012,Simulation,2012-06-22,1.99,36,19287
Skeet: VR Target Shooting,Simulation,2016-04-05,Free,59,56984
Farm Frenzy Collection,Simulation,2015-08-21,19.99,N/A,1578
A.I. Invasion,Simulation,2015-09-30,9.99,N/A,10695
Assault CorpsII,Simulation,2015-07-15,2.99,N/A,2981
DinoSystem,Simulation,2015-06-25,7.99,56,4734
SimpleRockets,Simulation,2015-06-03,7.99,66,27352
Close Combat : Panthers in the Fog,Simulation,2015-05-14,39.99,N/A,7890
Terraform,Simulation,2015-05-08,2.99,N/A,7013
Sid Meier's Covert Action (Classic),Simulation,2014-10-09,6.99,N/A,24371
Ski Park Tycoon,Simulation,2015-02-03,9.99,N/A,3507
Seven Kingdoms 2 HD,Simulation,2015-02-04,9.99,52,35418
Super Star,Simulation,2016-08-11,7.99,38,5260
BossConstructor,Simulation,2014-11-04,14.99,69,8416
TrumPiñata,Simulation,2016-07-22,0.99,N/A,533
MotoGP14 Compact,Simulation,2014-11-21,9.99,N/A,4033
Cricket Captain 2016,Simulation,2016-07-04,24.99,N/A,4383
Morphopolis,Simulation,2014-08-14,0.5,64,370481
Radiator 2,Simulation,2016-06-16,Free,N/A,126241
Civil War II,Simulation,2014-07-03,39.99,38,16832
Arachnophobia,Simulation,2016-06-01,4.99,N/A,514
Face of Mankind,Simulation,2014-07-17,Free,5,463409
The Dolls,Simulation,2016-05-25,4.99,41,1929
Firefighters 2014,Simulation,2014-05-21,19.99,16,44009
Doodle Kingdom,Simulation,2016-06-09,5.99,N/A,2630
Melting Hearts: Our Love Will Grow 2,Simulation,2016-04-29,4.99,N/A,9117
Luxuria Superbia,Simulation,2014-01-28,6.99,36,46990
Bus-Simulator 2012,Simulation,2013-11-22,9.99,4,37522
Pierhead Arcade,Simulation,2016-04-05,9.99,84,3507
Plague Inc: Evolved,Simulation,2016-02-18,14.99,90,912264
8-Bit Armies,Simulation,2016-04-22,14.99,69,47866
Final Approach,Simulation,2016-04-04,24.99,96,34015
Infestation: Survivor Stories,Simulation,2012-12-17,9.99,7,997301
Burokku Girls,Simulation,2016-02-17,8.99,N/A,3507
I Get This Call Every Day,Simulation,2016-06-09,2,N/A,1227
What's under your blanket !?,Simulation,2016-01-05,0.99,59,83284
Gulf of Aden - Task Force Somalia,Simulation,2015-12-14,9.99,N/A,533
Wedding Dash 2: Rings Around the World,Simulation,2009-08-12,9.99,N/A,6487
Loot Houndâ„¢,Simulation,2015-11-17,8.99,N/A,2279
The Graveyard,Simulation,2009-03-09,4.99,19,27878
When In Rome,Simulation,2015-10-29,4.99,N/A,877
Pro Gamer Manager,Simulation,2016-04-28,12.99,17,30333
Football Tactics,Simulation,2015-06-01,14.99,84,8767
Age of Castles: Warlords,Simulation,2015-05-15,1.99,N/A,4734
Carp Fishing Simulator,Simulation,2015-04-28,12.99,19,10695
State of Decay: Year-One,Simulation,2015-04-27,29.99,30,97311
Aquadelic GT,Simulation,2015-03-25,4.99,N/A,1227
Dead Sea,Simulation,2015-03-25,4.99,7,3682
Withering Kingdom: Flurry Of Arrows,Simulation,2016-08-26,0.99,N/A,42606
The VR Museum of Fine Art,Simulation,2016-08-20,Free,N/A,11747
RaidersSphere4th,Simulation,2015-06-01,19.99,N/A,1052
Street Legal Racing: Redline v2.3.1,Simulation,2016-08-05,6.99,54,11397
Neocolonialism,Simulation,2014-12-01,3.99,N/A,19637
Sky To Fly: Soulless Leviathan,Simulation,2016-07-22,3.99,78,1929
Homebrew - Vehicle Sandbox,Simulation,2014-11-14,17.99,32,35593
Fruit Ninja VR,Simulation,2016-07-07,14.99,90,14903
Bloop Reloaded,Simulation,2015-02-06,9.99,N/A,13325
Killbot,Simulation,2016-07-10,1.99,N/A,1227
Roadworks Simulator,Simulation,2016-06-09,4.99,N/A,1578
Robocraft,Simulation,2014-07-08,Free,39,10425201
Kill The Bad Guy,Simulation,2014-05-28,2.49,24,75394
Safety Driving Simulator: Car,Simulation,2016-05-04,4.99,N/A,6838
Pandora: First Contact,Simulation,2014-05-30,29.99,26,38574
Envy the Dead,Simulation,2016-04-25,4.99,N/A,7013
GhostControl Inc.,Simulation,2014-06-06,14.99,52,9293
Recovery Search and Rescue Simulation ,Simulation,2014-01-09,14.99,N/A,10169
theBlu,Simulation,2016-04-05,9.99,78,46990
Craft The World,Simulation,2014-11-24,18.99,75,295088
Envoy,Simulation,2016-03-17,4.99,100,17884
Contraption Maker,Simulation,2014-07-07,6.99,84,226532
Caravanserail,Simulation,2016-03-10,2.99,N/A,7013
StarForge,Simulation,2014-09-22,9.99,0,306309
Out of the Park Baseball 17,Sports,2016-03-22,39.99,84,17533
Out of the Park Baseball 16,Sports,2015-03-23,19.99,90,26300
NBA 2K13,Sports,2012-10-30,29.99,54,100116
Out of the Park Baseball 15,Sports,2014-04-24,19.99,98,38223
Rocket League,Sports,2015-07-07,14.99,88,3929943
F1 2016,Sports,2016-08-18,59.99,78,61893
DiRT 3 Complete Edition,Sports,2015-04-01,29.99,72,1248731
DiRT 3,Sports,2011-05-23,24.99,N/A,950487
DiRT Rally,Sports,2015-12-07,59.99,81,336466
NBA 2K12,Sports,2011-10-04,19.99,61,37171
Assetto Corsa,Sports,2014-12-19,29.99,69,341551
