ime,ocena_ign
Demigod,7.5
Elven Legacy,7.7
Flock!,6.9
Wheelman,4.8
Runes of Magic,7.9
Braid,8.8
Death Track: Resurrection,6.7
The Godfather II,7.6
Leisure Suit Larry: Box Office Bust,2.2
Stormrise,2.1
Iron Grip: Warlord,4.5
BattleForge,6.6
Fallout 3: The Pitt,7.5
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",8.5
The Chronicles of Riddick: Assault on Dark Athena,7.4
Wanted: Weapons of Fate,7.3
Dark Sector,7.7
The Path,7.7
The Last Remnant,6.8
Grand Ages: Rome,6.8
Tom Clancy's HAWX,6.7
Age of Booty,5.5
World in Conflict: Soviet Assault,7.8
Major League Baseball 2K9,6.6
Codename Panzers: Cold War,6.9
Watchmen: The End Is Nigh,5.5
Sins of a Solar Empire: Entrenchment,8.7
ShellShock 2: Blood Trails,4.6
Puzzle Quest: Galactrix,8.5
Empire: Total War,9.5
Drakensang: The Dark Eye,7.6
Perimeter II: New Earth,5.1
F.E.A.R. 2: Project Origin,8.3
Burnout Paradise: The Ultimate Box,8.4
Perfect World International,7.5
Commander in Chief,4.5
Fallout 3 - Operation: Anchorage,7.8
MLB Front Office Manager,6.6
MindHabits,4.5
Crayon Physics Deluxe,8.8
Mirror's Edge (2008),8.5
Saints Row 2,6.3
GTR Evolution,8.5
Barbie Horse Adventures: Riding Camp,6.2
Shattered Suns,4.3
Top Chef The Game,6.5
Avatar: The Last Airbender - Path of Zuko,4.5
Space Trader - Merchant Marine,5.8
Worldwide Soccer Manager 2009,7.9
War Plan Pacific,7.4
Rise of the Argonauts,6.5
Luxor 3,7.5
Outcry,6.8
Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,8.6
Puzzlegeddon,7.9
Hired Guns: The Jagged Edge,5.9
A Vampyre Story,7.6
Neopets Puzzle Adventure,7.6
Secret Service,4.5
Gothic 3: Forsaken Gods,3.5
Legendary,2.5
Penny Arcade Adventures: Episode Two,8.1
CSI: NY,5.8
The Lord of the Rings Online: Mines of Moria,8.7
Grand Theft Auto IV,9.2
Chronicles of Mystery: The Scorpio Ritual,7.5
Europa Universalis: Rome - Vae Victis,7.5
Neverwinter Nights 2: Storm of Zehir,8.3
Prince of Persia,9.3
Agatha Christie: Death on the Nile,5.3
Silent Hill: Homecoming,5.5
Madagascar: Escape 2 Africa,4.3
Sword of the Stars: A Murder of Crows,7.2
Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective,8.5
Rhiannon: Curse of the Four Branches,7.5
Deer Hunter Tournament,6.4
Sacred 2: Fallen Angel,7.5
Call of Duty: World at War,9.2
Combat Mission: Shock Force - Marines,6.7
Bejeweled Twist,7.4
Are You Smarter Than a 5th Grader: Make the Grade,3.2
Poker For Dummies,5.3
Brain Training for Dummies,6.8
007: Quantum of Solace,7.2
Hinterland,7.2
The Guild 2: Venice,4.5
Spider-Man: Web of Shadows,5.3
Bully: Scholarship Edition,7.8
Command & Conquer: Red Alert 3,8.2
Fallout 3,9.6
Exodus from the Earth,6.2
Strong Bad's Cool Game for Attractive People Episode 3: Baddest of the Bands,8.4
Dead Space,8.7
Far Cry 2,8.9
City Life 2008 Edition,6.9
Nostradamus: The Last Prophecy,7.4
Pipe Mania,6.5
Everlight of Magic & Power,6.9
So Blonde,6.8
Brothers in Arms: Hell's Highway,7.9
CellZenith,5.7
Pure,8.4
OPERATION Mania,7.1
Kharkov: Disaster on the Donets,7.9
King's Bounty: The Legend,8.1
Ford Racing: Off Road,3.5
Sid Meier's Civilization IV: Colonization,8.7
Peggle Nights,8.4
LEGO Batman: The Videogame,7.7
Imperium Romanum: Emperor Expansion,5.9
Prison Tycoon 4: SuperMax,2.5
Nikopol: Secrets of the Immortals,8.2
Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,8.2
Sinking Island,6.5
FlatOut: Ultimate Carnage,7.8
Penumbra: Requiem,7.5
Crysis Warhead,9.4
Mercenaries 2: World in Flames,7.9
Romance of the Three Kingdoms XI,7.2
The Game of Life: SpongeBob SquarePants Edition,4.3
Murder in the Abbey,3.5
Warhammer: Mark of Chaos - Battle March,6.5
The Sims 2 Apartment Life,7.7
S.T.A.L.K.E.R.: Clear Sky,7.3
Spore,8.8
The Golden Horde,5.8
Deadliest Catch: Alaskan Storm,6.5
Dracula 3: The Path of the Dragon,7.2
UberSoldier II,6.8
XIII Century: Death or Glory,7.2
1701 A.D. Gold Edition,8.3
Bionic Commando Rearmed,9.3
Space Siege,6.4
Strong Bad's Cool Game for Attractive People Episode 1: Homestar Ruiner,8.1
Beijing 2008: The Official Video Game of the Olympic Games,5.6
Space Chimps,6.7
Sam & Max: Season Two,8.1
The Immortals of Terra: A Perry Rhodan Adventure,5.8
Art of Murder: FBI Confidential,4.5
Red Baron Arcade,5.8
SimCity Societies: Destinations,6.7
Roogoo,7.1
Aces of the Galaxy,7.5
Alone in the Dark,3.5
WALL-E,7.5
Insecticide: Episode 1,7.5
Pacific Storm: Allies,6.8
Supreme Ruler 2020,7.8
Crazy Machines 2,6.8
Happy Tree Friends: False Alarm,6.2
Belief & Betrayal,5.4
The Political Machine 2008,7.3
Lost Planet: Extreme Condition Colonies Edition,7.5
Chaos Theory,6.5
Blokus World Tour,7.5
Stronghold: Crusader Extreme,4.8
Age of Conan: Hyborian Adventures,7.8
DreamWorks Kung Fu Panda,7.4
Penny Arcade Adventures: Episode One,7.8
GRID,8.7
Gumboy Tournament,6.6
Mass Effect,9.2
Harvest: Massive Encounter,5.5
Baseball Mogul 2009,6.2
Galactic Civilizations II: Twilight of the Arnor,9.1
Dancing with the Stars,3.5
Iron Man,3.5
Dream Pinball 3D,5.1
Sudden Strike 3: Arms for Victory,5.3
Lumines,6.8
Jack Keane,7.5
Panzer Command: Kharkov,6.7
Cleopatra: Riddle of the Tomb,7.7
Tom Clancy's Rainbow Six: Vegas 2,7.7
Magic: The Gathering Online III,5.5
Europa Universalis: Rome,8.7
"Sam & Max Episode 205: What's New, Beelzebub?",8.2
Assassin's Creed: Director's Cut Edition,7.8
Rhem 3: The Secret Library,6.5
Warriors Orochi,5.7
Obscure: The Aftermath,7.5
Sam & Max Episode 204: Chariots of the Dogs,8.3
AGEOD's American Civil War: 1861-1865 - The Blue and the Gray,6.2
The Experiment,6.8
Lost: Via Domus,5.5
The Club,6.9
AudioSurf,8.6
Sam & Max Episode 203: Night of the Raving Dead,6.8
The Sims 2: FreeTime,8.3
The Spiderwick Chronicles,7.5
Sins of a Solar Empire,8.9
Pirates of the Burning Sea,8.2
SunAge,5.2
Savage 2: A Tortured Soul,8.3
Out of This World,8.5
The Sims: Castaway Stories,7.3
Penumbra: Black Plague,7.7
Battlestar Galactica,5.1
Carol Vorderman's Sudoku,7.8
Taito Legends 2,7.5
Shadowgrounds Survivor,7.6
Sam & Max Episode 202: Moai Better Blues,8.2
The Golden Compass,3.5
Alvin and the Chipmunks,2.2
The History Channel: Battle for the Pacific,4.9
Next Life,4.5
Hot Wheels: Beat That!,3.5
Fantasy Wars,7.8
Darkness Within: In Pursuit of Loath Nolder,5.1
World Series of Poker 2008: Battle for the Bracelets,7.9
EverQuest II: Rise of Kunark,8.2
Dawn of Magic,5.4
Soldier of Fortune: Payback,5.9
Cabela's Big Game Hunter: Trophy Bucks,4.8
Tabula Rasa,7.5
Need for Speed: ProStreet,6.9
Empire Earth III,5.4
BlackSite: Area 51,6.5
SimCity Societies,5.8
Viva Pinata,8.2
Guitar Hero III: Legends of Rock,8.5
Crysis,9.4
Supreme Commander: Forged Alliance,8.6
Gears of War,8.7
RACE 07: Official WTCC Game,8.5
F.E.A.R. Perseus Mandate,5.9
Hellgate: London,6.8
Call of Duty 4: Modern Warfare,9.4
You Are Empty,2.1
TimeShift,7.6
The Witcher,8.5
Clive Barker's Jericho,5.6
Fury,6.5
Flight Simulator X: Acceleration,8.2
CSI: Crime Scene Investigation: Hard Evidence,6.1
Nancy Drew: Legend of the Crystal Skull,7.5
Thrillville: Off the Rails,7.9
Heroes of Might and Magic V: Tribes of the East,7.9
Neverwinter Nights 2: Mask of The Betrayer,8.5
Puzzle Quest: Challenge of the Warlords,8.6
Half-Life 2: Episode Two,9.4
Portal,8.2
Team Fortress 2,8.9
The Orange Box,9.5
Spider-Man: Friend or Foe,4.9
The Chosen - Well of Souls,4.5
Enemy Territory: Quake Wars,8.5
The Settlers: Rise of an Empire,6.5
Undercover: Operation Wintersun,6.5
Company of Heroes: Opposing Fronts,8.8
Galactic Assault: Prisoner of Power,6.2
Stranglehold,8.1
Guild Wars: Eye of the North,7.9
Sherlock Holmes: The Awakened,8.1
Combat Mission: Shock Force,5.2
Two Worlds,7.3
Medieval II: Total War Kingdoms,8.4
World in Conflict,9.3
Medal of Honor: Airborne,7.9
Instinct (2007),1.7
BioShock,9.7
Attack on Pearl Harbor,4.6
Sword of the New World: Granado Espada,6.5
UFO: Extraterrestrials,5.9
Tom Clancy's Ghost Recon Advanced Warfighter 2,7.2
Sid Meier's Civilization IV: Beyond the Sword,8.9
Call for Heroes: Pompolic Wars,1.2
No Surrender: Battle of the Bulge,5.5
Call of Juarez,6.8
Space Force: Rogue Universe,5.1
DiRT,8.4
Lost Planet: Extreme Condition,5.8
FreeStyle Street Basketball,6.8
