ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Adventure Park,2013-11-08,19.99,0,22969,03:49
theHunter: Primal,2015-03-31,9.99,23,156223,18:25
Spacebase DF-9,2014-10-27,9.99,1,166743,07:36
Ship Simulator Extremes,2010-08-27,19.99,9,191290,14:18
Lucius II,2015-02-13,19.99,17,72939,05:09
Cities XXL,2015-02-05,7.49,2,99765,23:02
Coast Guard,2015-10-21,14.99,22,8065,05:24
Starpoint Gemini,2012-02-16,13.99,4,52600,05:36
Viridi,2015-08-19,Free,72,489007,04:04
Air Conflicts: Vietnam,2013-10-02,17.99,2,26300,02:33
Brigade E5: New Jagged Union,2014-04-30,3.99,N/A,18235,12:00
Super Duper Party Pooper,2016-06-06,0.99,66,9643,01:15
Making History II: The War of the World,2010-08-27,14.99,45,39976,49:11
Takedown: Red Sabre,2014-02-10,4.99,5,228461,02:40
X Rebirth,2013-11-15,29.99,4,203738,41:24
Rebel Galaxy,2015-10-20,19.99,69,179367,14:33
The Pirate: Caribbean Hunt,2016-08-24,Free,47,153242,02:53
ACE Academy,2016-08-22,24.99,98,4734,10:39
Cat President ~A More Purrfect Union~,2016-08-23,8.99,N/A,514,00:00
Hearthlands,2014-12-12,11.99,88,15780,17:51
A Verdant Hue,2016-07-26,14.99,N/A,1753,00:11
Retro-Pixel Castles,2014-10-27,9.99,66,39100,04:56
Shadows of Kurgansk,2016-07-14,14.99,N/A,4033,04:16
Supreme,2015-01-09,9.99,28,4033,02:57
Final Approach: Pilot Edition,2016-06-22,24.99,N/A,14903,00:11
Cheaters Blackjack 21,2016-06-07,3.99,N/A,3507,03:38
Wildlife Park 2,2014-07-17,6.99,31,38048,08:28
Music Wars Empire,2016-06-01,14.99,N/A,5786,13:55
VR Regatta,2016-05-31,Free,N/A,18585,00:23
"7,62 High Calibre",2014-04-30,4.99,41,35067,14:11
Snooker Nation Championship,2016-04-27,4.99,45,4734,11:58
Vilmonic,2016-06-15,9.99,N/A,2104,00:07
Stock Car Extreme,2015-02-11,9.99,78,17533,38:55
The Sandbox,2015-06-29,4.99,23,23144,07:31
Professional Farmer 2014,2013-11-27,14.99,9,215135,10:16
PITCH-HIT : RAMPAGE LEVEL,2016-04-05,Free,N/A,57334,00:15
Railroad X,2014-06-09,39.99,N/A,2630,19:21
"Hot Dogs, Horseshoes & Hand Grenades",2016-04-05,19.99,93,23144,03:48
New York Taxi Simulator,2016-03-04,4.99,N/A,5611,00:14
Sunrider: Liberation Day,2016-03-04,24.99,61,9994,15:08
Northern Tale,2016-02-09,2.99,N/A,1599,05:59
Fear Equation,2016-01-15,14.99,N/A,2981,03:04
Blood of Magic,2015-12-18,9.99,N/A,1929,01:19
Star Nomad 2,2015-12-14,12.99,43,3857,04:12
Prison Tycoon 4: Supermax,0000-00-00,24.99,N/A,20339,03:01
Sickness,2016-01-20,14.99,88,17358,00:40
Jane's Realty,2015-10-21,2.99,N/A,1332,01:59
Dead But Alive! Southern England,2015-10-02,14.99,N/A,5085,03:51
Game Corp DX,2015-10-02,2.99,72,59088,04:21
Sakura Beach,2015-08-14,9.99,47,49620,03:55
Sky Rogue,2015-07-30,9.99,84,15254,04:35
Pulsen,2015-07-27,14.99,N/A,533,10:05
Eisenbahn X,2015-06-08,39.99,N/A,799,09:12
new DREAMFLIGHT VR:For Oculus Rift,2015-05-21,4.99,N/A,4208,00:12
Zotrix,2015-07-24,12.99,31,17358,03:51
Spaaace,2016-08-15,3.99,N/A,514,00:00
ATLAS ,2015-01-08,24.99,N/A,1403,00:59
Jurassic Survival,2016-08-01,8.99,N/A,3682,00:00
Silent Service 2,2014-11-06,6.99,N/A,12449,01:24
Copter and Sky,2016-07-21,3.99,N/A,533,00:13
Dandelion - Wishes brought to you -,2014-09-29,29.99,84,12098,25:06
Klepto,2016-06-30,12.99,13,877,01:01
Time Tenshi 2,2016-06-14,9.99,N/A,2981,02:32
The Howler,2016-04-21,0.5,52,331732,03:07
Hero Generations: ReGen,2016-08-19,14.99,N/A,1403,01:14
Pixel Day - Gun Z,2016-05-20,0.99,1,4208,00:13
Always Remember Me,2014-04-18,17.99,19,17183,02:56
Worlds Adrift Island Creator,2016-04-28,Free,72,59789,01:21
Showtime!,2014-05-23,5.99,24,44886,05:34
3 Coins At School,2016-04-20,4.99,N/A,2455,06:58
Post Master ,2014-03-07,4.99,7,72062,02:21
Airport Simulator 2014,2013-12-19,9.99,0,71536,03:50
Rescue: Everyday Heroes,2013-12-11,9.99,17,71712,06:08
"Forgotten, Not Lost - A Kinetic Novel",2016-04-01,1.99,93,9643,03:22
DrawnÂ®: Dark Flightâ„¢ Collector's Edition,2016-03-08,11.99,N/A,1027,00:09
Gnomoria,2016-02-23,14.99,64,249676,32:59
Story Of the Survivor,2016-02-16,2.99,N/A,14728,01:24
Pitstop Challenge,2016-02-01,9.99,N/A,533,00:11
Falcon A.T.,2016-01-08,6.99,N/A,4208,00:15
Major\Minor,2016-05-01,9.99,47,5786,03:33
Chocolatier: Decadence by Design,2009-08-12,9.99,N/A,6487,09:46
Starlord,2015-11-13,6.99,N/A,5786,01:37
SimCity 4 Deluxe,2010-07-20,19.99,43,1085845,16:31
Cannibal,2015-10-28,13.99,N/A,799,00:09
Petz Catz 2,2008-06-13,9.99,59,8942,23:16
The Grand Canyon VR Experience,2015-10-09,4.99,N/A,3857,00:31
Black Closet,2015-09-16,19.99,96,6663,06:22
Doodle God,2015-09-24,5.99,30,43308,03:07
Asphyxia,2015-08-04,5.99,34,27878,05:03
Hack Run ZERO,2015-07-13,4.99,N/A,5611,01:19
Pizza Express,2015-06-25,6.99,56,18235,04:22
East Tower - Takashi,2015-05-27,5.99,N/A,10520,03:50
Star Trek: Judgment Rites,2015-05-08,5.99,N/A,4909,03:42
Earthtongue,2015-04-27,4.99,88,4033,01:58
WOC_Basic,2015-04-02,12.99,N/A,1403,04:29
Kitty Powers' Matchmaker,2015-04-22,9.99,93,37697,10:19
Dungeon Journey,2016-06-03,1.99,64,18936,04:49
Mini Attack Submarine,2016-05-27,0.99,2,62244,03:51
Epic Space: Online,2014-05-08,14.99,1,2279,06:00
MechoEcho,2016-05-18,18.99,N/A,514,11:18
Gunship!,2014-07-11,6.99,N/A,16481,00:08
JiPS,2016-04-19,1.49,N/A,1227,19:37
Gardens Inc.  From Rakes to Riches,2014-03-25,9.99,N/A,3507,11:03
Car Mechanic Simulator 2014,2014-01-24,6.99,54,336466,05:46
Pro Cycling Manager 2014,2014-06-19,2.99,26,30684,84:52
XLR,2016-04-05,4.99,N/A,4559,00:13
Ice Lakes,2016-04-19,14.99,64,3682,05:05
AsteroidsHD,2016-03-04,0.99,N/A,12449,00:18
Hegemony Rome: The Rise of Caesar,2014-05-15,19.99,25,52074,10:00
VALENS,2016-02-18,7.99,N/A,1027,00:08
Damage Inc,2012-08-28,39.99,N/A,2279,04:38
Time of Dragons,2016-02-01,Free,32,474630,01:04
Feed and Grow: Fish,2016-01-08,14.99,41,22793,10:55
Starship Corporation,2016-04-29,19.99,26,5435,07:29
Build-A-Lot 3,2009-12-17,9.99,N/A,5786,07:22
Back to Dinosaur Island ,2015-11-18,Free,15,434128,00:13
MiG-29 Fulcrum,2009-06-01,9.99,N/A,12799,00:53
Brilliant Shadows - Part One of the Book of Gray Magic,2015-11-02,6.99,96,3682,03:21
Virtual Villagers 2: The Lost Children,2008-05-12,9.99,N/A,7539,37:11
Command: Northern Inferno,2015-10-22,19.99,N/A,6487,02:10
SC2VN - The eSports Visual Novel,2015-09-22,Free,88,108532,01:41
Dungeon Manager ZV,2015-10-16,9.99,31,2455,05:40
Dragonflight,2015-08-31,15.99,43,3156,00:37
Attrition: Nuclear Domination,2015-08-07,0.99,3,157450,03:32
Volstead,2015-06-25,2.99,N/A,12624,00:27
Sirius Online,2015-06-01,Free,22,75218,02:58
Carnivores: Dinosaur Hunter Reborn,2015-05-27,14.99,47,23845,06:26
Selfie: Sisters of the Amniotic Lens,2015-05-08,4.99,28,13676,02:41
Fortune's Tavern - The Fantasy Tavern Simulator!,2015-03-05,4.99,6,38398,01:25
Evolution II: Fighting for Survival,2015-02-12,2.99,N/A,1753,17:07
Intensive Exposure,2016-09-06,3.99,N/A,1066,00:48
Legends of Azulgar,2016-08-18,Free,N/A,5260,00:06
Survivalist,2015-01-30,4.99,56,138514,07:27
Kingdom: New Lands,2016-08-09,14.99,81,223376,06:17
Movie Studio Boss: The Sequel,2014-12-17,9.99,N/A,7539,02:19
911: First Responders,2014-09-25,4.99,64,34015,23:54
Aqua Moto Racing Utopia,2016-07-13,19.99,N/A,514,00:02
Forsaken Uprising,2014-12-03,2.99,3,165691,03:19
Savage Lands,2015-03-05,14.99,28,456044,06:18
Krog Wars,2016-04-12,3.99,3,100291,03:52
Zafehouse: Diaries,2013-09-06,9.99,31,57860,06:47
WolfQuest,2016-03-25,9.99,69,14903,10:14
Banished,2014-02-18,19.99,78,1532246,30:16
Campgrounds: The Endorus Expedition Collector's Edition,2016-03-03,9.99,N/A,533,13:06
Atlantic Fleet,2016-02-25,9.99,66,26651,18:06
Rocksmith 2014,2013-10-22,39.99,84,510223,46:47
Air Missions: HIND,2016-03-21,16.99,72,2805,01:59
Moon Breakers,2012-05-17,Free,18,309114,01:48
Governor of Poker 2: Premium Edition,2010-10-11,14.99,64,37171,15:31
The Isle,2015-12-01,19.99,30,58211,30:53
The Great Art Race,0000-00-00,7.99,34,70835,02:55
Concealed Intent,2016-08-02,14.99,N/A,1052,02:15
Lovely Weather We're Having,2015-11-10,7.99,N/A,2981,00:26
GTR 2 - FIA GT Racing Game,2012-12-12,7.99,90,89070,01:04
Expert Rifleman - Reloaded,2015-08-14,14.99,N/A,10345,04:37
Empyrion - Galactic Survival,2015-08-05,19.99,61,227058,40:25
Anno Online,2015-07-01,Free,11,344883,09:57
AdvertCity,2015-06-05,19.99,34,9117,03:41
Final Strike,2016-06-23,9.99,N/A,1541,00:44
Balls of Steel,2014-05-05,3.74,N/A,63997,00:12
Tea Party Simulator 2015,2015-04-23,9.99,34,124137,05:09
Eastside Hockey Manager: Early Access,2015-12-01,19.99,66,136585,71:02
Sbastien Loeb Rally EVO,2016-01-29,49.99,15,10871,08:55
18 Wheels of Steel: Convoy,2016-09-02,9.99,N/A,514,10:30
TRIP:Steam Edition,2015-06-19,6.99,5,28053,00:05
Space Ribbon,2016-08-05,14.99,N/A,514,00:02
Cell HD: emergence,2015-02-19,5.99,N/A,1066,00:08
Cinemaware Anthology: 1986-1991,2014-11-14,9.99,N/A,8591,00:56
Onward,2016-08-29,24.99,N/A,8767,04:00
Uncharted Waters Online: Gran Atlas,2014-10-03,Free,24,236701,16:13
Flight 787 - Advanced,2016-06-21,15.99,N/A,1027,01:20
Snow Fortress,2016-06-09,9.99,N/A,1929,00:40
Roadside Assistance Simulator,2014-09-25,9.99,N/A,10871,01:48
Lightsaber VR,2016-05-31,3.99,56,21391,01:59
Hero Generations,2015-04-10,5.99,19,14553,03:02
New Yankee in Santa's Service,2016-05-12,4.99,N/A,514,00:24
Ampu-Tea,2014-05-30,4.99,20,133254,02:32
Heaven Island Life,2016-04-21,0.99,12,179016,05:49
Formula Truck 2013,2015-02-02,7.49,54,9293,02:40
Turbo Dismount,2014-05-21,9.99,88,328050,08:05
Farming Simulator 2011,2010-10-29,9.99,66,80654,61:20
Drift Streets Japan,2015-12-21,4.99,41,118877,08:44
Invasion: Brain Craving,2016-06-22,0.99,7,97135,03:34
Max's Big Bust - A Captain Nekorai Tale,2015-11-10,29.99,N/A,2131,03:24
Trainz: Classic Cabon City,2010-09-01,19.99,N/A,29281,01:28
The Living Dungeon,2015-11-02,19.99,N/A,12273,04:19
Fetch It Again,2009-07-17,6.99,N/A,1052,24:15
Vector 36,2015-10-21,14.99,41,2455,08:19
Painters Guild,2015-09-01,9.99,32,13851,03:45
Devils Share,2015-07-31,0.99,3,151664,04:10
Flight Unlimited Las Vegas,2015-07-08,2.99,N/A,1403,00:58
Home Improvisation,2016-07-28,9.99,38,9643,02:50
Star Trek: 25th Anniversary,2015-05-07,5.99,N/A,5435,01:52
Broadsword : Age of Chivalry,2015-05-15,19.99,3,79426,00:39
Hyperspeed,2015-04-01,6.99,N/A,5786,01:39
World of Mixed Martial Arts 3,2015-03-19,19.99,41,9643,20:35
GE Neuro,2016-09-05,Free,N/A,2455,00:06
Life is Feudal: Forest Village,2016-08-26,24.99,32,19111,08:12
HIS (Heroes In the Sky),2015-03-03,Free,6,214083,04:54
Independence War Deluxe Edition,2016-08-10,5.99,N/A,514,00:03
