ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Farlight Explorers,2015-03-11,14.99,28,5611,15:17
Medieval Engineers,2015-02-19,19.99,39,251605,07:22
Earth Under Siege,2014-12-11,19.99,N/A,701,16:18
Savage Lands,2015-03-05,14.99,28,456044,06:18
TerraTech,2015-02-06,19.99,49,154119,19:14
Anarchy Arcade,2014-09-03,Free,31,582285,01:38
Centration,2014-04-04,Free,1,2279,02:16
Pylon: Rogue,2016-08-14,14.99,N/A,514,04:32
Super Kaiju,2016-07-29,19.99,N/A,1332,00:23
Cubic complex,2016-07-19,0.99,N/A,4383,00:03
The Last Error,2016-07-08,1.99,N/A,1066,01:48
Dead Age,2016-07-14,14.99,69,2981,05:31
Screeps,2016-06-20,14.99,84,4559,45:17
Prominence Poker,2016-05-18,Free,38,149911,03:18
Garlock Online,2016-05-30,Free,0,36820,00:11
Welkin Road,2016-04-13,9.09,N/A,1753,02:48
The Fifth Expedition,2016-04-07,9.99,N/A,514,06:46
Wolcen: Lords of Mayhem,2016-03-24,19.99,49,23144,01:37
AsteroidsHD,2016-03-04,0.99,N/A,12449,00:18
The Kindred,2016-02-24,14.99,N/A,2455,06:35
Alchemist's Awakening,2016-03-21,15.99,59,4383,01:52
Feed and Grow: Fish,2016-01-08,14.99,41,22793,10:55
Gun Bombers,2015-12-02,7.99,N/A,701,01:06
Magician's Apprentice,2015-11-09,9.99,N/A,2805,04:15
Ironkraft - Road to Hell,2015-10-22,9.99,N/A,701,06:27
Forsaken Fortress Strategy,2015-09-18,9.99,18,7189,02:55
Bernie Needs Love,2015-08-21,2.99,N/A,8591,00:13
Chronicon,2015-07-28,9.99,90,7539,10:51
Warriors & Castles,2015-06-30,2.99,54,10871,00:16
FRONTIERS,2014-12-15,14.99,32,7364,02:21
Voice Of Pripyat,2014-11-19,6.99,7,6663,02:43
Gravi,2013-10-08,4.99,6,28579,02:24
Outbreak: Pandemic Evolution,2016-09-09,17.99,N/A,514,00:25
DEADLOCK,2016-08-15,5.99,N/A,514,00:05
Sneak Thief,2016-08-05,9.99,N/A,3682,01:08
Shadows of Kurgansk,2016-07-14,14.99,N/A,4033,04:16
The Thrill of the Fight,2016-07-01,9.99,66,6663,00:57
90 Minute Fever,2016-07-12,5.99,49,533,98:16
BallisticNG,2016-05-31,Free,72,81530,00:19
"Axe, Bow & Staff",2016-05-20,9.99,N/A,526,00:10
Endciv,2016-04-21,14.99,N/A,2664,00:25
Party Saboteurs,2016-04-09,9.99,N/A,8591,00:46
