ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
BanHammer,2015-12-22,2.99,15,17183,03:18
Shrouded in Sanity,2016-05-27,7.99,59,2279,01:37
Retaliation: Enemy Mine,2016-01-22,4.99,N/A,533,01:18
StarForce: 2193,2016-08-16,0.99,N/A,1578,"0 <font class=""small"">&plusmn;0</font></td><td class=""tplaytime"" data-order=""0"">00:00"
Super Slam Dunk Touchdown,2015-12-16,15,N/A,4033,01:05
UTOPIA 9 - A Volatile Vacation,2016-05-05,11.99,N/A,1578,00:35
Drone Racing,2016-05-23,9.99,N/A,1403,00:46
Doorways: Holy Mountains of Flesh,2016-08-10,19.99,69,46990,03:17
Armor Clash,2015-10-21,9.99,N/A,2630,01:53
Unfortunate Spacemen,2016-05-06,14.99,41,1403,00:17
Cologne,2016-03-10,2.99,N/A,533,"0 <font class=""small"">&plusmn;0</font></td><td class=""tplaytime"" data-order=""0"">00:00"
RollerGirls From Beyond,2016-09-08,14.99,N/A,514,00:32
Meridian: Squad 22,2016-08-11,14.99,49,2279,02:39
Jurassic Survival,2016-08-01,8.99,N/A,3682,"0 <font class=""small"">&plusmn;0</font></td><td class=""tplaytime"" data-order=""0"">00:00"
Axion,2015-12-11,1.99,4,5786,04:08
Goblins and Grottos,2016-07-07,12.99,N/A,2104,01:57
Jet Set Knights,2016-04-07,9.99,N/A,1929,00:45
Demented,2015-11-18,5.99,N/A,11747,00:05
Earth Space Colonies,2016-07-01,14.99,39,4559,07:02
Slybots: Frantic Zone,2016-01-18,6.99,N/A,1052,00:39
Super Button Soccer,2016-07-20,6.99,N/A,1332,08:43
Tatsu,2016-08-29,9.99,N/A,701,03:17
"In Case of Emergency, Release Raptor",2016-08-29,Free,N/A,3857,00:09
Space Drifters 2D,2016-03-28,0.99,N/A,17007,04:03
Pharaonic,2016-04-28,15.99,78,2104,02:08
WizardCraft,2016-05-27,11.99,N/A,701,01:09
The Ritual on Weylyn Island,2015-12-04,4.99,N/A,1753,01:25
Tic-Toc-Tower,2015-09-28,4.99,N/A,9819,03:16
Sunken,2016-05-26,9.99,N/A,1578,03:40
MoW: Face Off XL,2015-11-18,Free,39,43658,02:54
Tidal Affair: Before The Storm,2015-11-24,9.99,N/A,526,03:42
Dawn of Andromeda,0000-00-00,Free,N/A,514,00:50
Void Raiders,2016-06-14,4.99,N/A,1227,01:14
BomberZone,2016-06-10,3.99,N/A,1052,02:52
Slam,2016-07-11,3.99,N/A,2279,00:31
Linkrealms,2016-05-19,19.99,N/A,1227,02:01
Overdosed - A Trip To Hell,2016-05-23,6.99,N/A,3507,04:33
"Axe, Bow & Staff",2016-05-20,9.99,N/A,526,00:10
Link,2016-04-22,4.99,N/A,6487,03:34
Frizzy,2015-12-23,2.99,N/A,9117,00:20
Vortex: The Gateway,2016-03-22,19.99,28,13150,04:16
Awakening of Solutio,2016-05-27,1.99,N/A,1578,04:16
Gon' E-Choo!,2015-11-25,1.99,59,10345,03:41
Rogue Harvest,2015-11-05,4.99,N/A,8591,02:03
The Ables: Freepoint High,2016-04-07,2.99,N/A,799,00:47
Kimulator : Fight for your destiny,2016-08-11,1.99,13,4383,05:42
UNDEADS,2015-10-30,2.69,N/A,4383,05:54
Pyramid Raid,2015-12-15,2.99,15,57334,00:31
