ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Age of Magic CCG,2016-03-20,Free,17,40678,09:06
Granado Espada,2016-01-07,Free,6,68030,06:30
Golden Rush,2015-09-23,Free,7,137988,07:46
Wrath of Athena,2015-05-29,Free,3,95733,00:58
Karos,2014-12-24,Free,11,318758,05:57
Landmark,2016-06-10,9.99,4,74166,15:07
Rust,2013-12-11,19.99,54,4357408,91:38
Dungeon Party,2013-03-13,Free,5,310692,00:20
Space Universe,2016-06-15,14.99,N/A,514,00:28
StarBreak,2016-05-10,Free,45,167444,03:04
Time of Dragons,2016-02-01,Free,32,474630,01:04
The Final Frontier: Space Simulator,2016-06-30,4.99,N/A,533,00:12
Lif,2016-01-21,8.99,19,3331,05:38
Dark Forester,2015-02-09,29.99,23,3507,00:16
Cannons Lasers Rockets,2014-08-25,Free,1,208297,00:16
Perpetuum,2014-10-17,9.99,34,16657,31:17
MIGHT,2016-07-13,4.99,N/A,4383,00:29
CONTASION 2,2016-04-22,6.99,N/A,2104,00:00
Heliborne,2016-02-15,9.99,52,17533,03:51
The Isle,2015-12-01,19.99,30,58211,30:53
Dream Of Mirror Online,2015-08-14,Free,10,166918,12:30
Selfie: Sisters of the Amniotic Lens,2015-05-08,4.99,28,13676,02:41
Warside,2015-05-05,Free,25,153067,01:21
Counter-Strike Nexon: Zombies,2014-10-07,Free,24,6302566,13:23
FINAL FANTASY XI: Ultimate Collection Seekers Edition NA,2013-04-19,39.99,N/A,16481,29:48
EverQuest Free-to-Play,2012-12-13,Free,32,393976,40:57
Shop Heroes,2016-08-15,Free,28,129572,12:18
Linkrealms,2016-05-19,19.99,N/A,1227,02:01
Shakes and Fidget,2016-02-24,Free,64,520217,38:04
Elements: Epic Heroes,2015-12-21,6.99,N/A,4559,00:19
Mortal Online,2015-08-31,Free,9,528984,06:06
WarBirds - World War II Combat Aviation,2015-05-05,14.99,N/A,3156,52:42
School of Dragons: How to Train Your Dragon,2014-12-04,Free,10,1058493,03:44
Guns and Robots,2014-08-04,Free,26,1098469,02:19
Happy Wars,2014-07-23,Free,45,1689171,03:47
Allods Online My.com,2016-06-03,Free,19,70309,06:28
ARK: Survival Of The Fittest,2016-03-15,Free,16,5521452,03:28
Naval Action,2016-01-21,39.99,49,78900,68:46
Lonath Online,2015-10-16,6.99,N/A,9468,02:39
Echo of Soul,2015-06-22,Free,19,498125,10:38
TDP4:Team Battle,2015-03-12,Free,4,193744,01:20
Face of Mankind,2014-07-17,Free,5,463409,03:03
ONRAID,2016-08-29,9.99,N/A,514,05:56
Forsaken Uprising,2014-12-03,2.99,3,165691,03:19
Infestation: Survivor Stories,2012-12-17,9.99,7,997301,42:41
Garlock Online,2016-05-30,Free,0,36820,00:11
Swordsman,2016-01-28,Free,12,279308,04:32
Affected Zone Tactics,2015-11-17,Free,24,52425,05:38
Aberoth,2015-07-17,Free,16,154294,08:38
TDP5 Arena 3D,2015-03-26,Free,7,143423,01:29
Redemption,2016-08-11,14.99,N/A,799,80:14
Madness Cubed,2016-05-12,5.99,32,1929,01:54
H1Z1: King of the Kill,2016-02-17,19.99,28,2693836,34:40
Metal War Online: Retribution,2015-12-01,Free,13,351896,01:51
M4 Tank Brigade,2015-08-17,14.99,N/A,877,02:11
Deepworld,2015-04-22,Free,18,191465,02:25
LEGO Minifigures Online,2015-06-29,29.99,26,7013,09:49
Panzer Warfare,2016-08-25,1.99,N/A,514,00:00
Pixel Day - Gun Z,2016-05-20,0.99,1,4208,00:13
Mystica: The Ninth Society,2016-03-06,1.99,N/A,6312,05:35
Divergence: Online,2016-01-06,29.99,28,1052,06:52
Fasaria World Online,2015-02-22,9.99,N/A,8767,03:24
Metro Conflict,2015-06-22,Free,12,506716,03:38
KWAAN,2016-01-21,9.99,45,12273,01:43
Xsyon - Prelude,2014-12-29,29.99,39,4208,14:57
8BitMMO,2015-01-26,Free,18,805135,01:07
LuckCatchers,2016-06-15,Free,11,90823,10:23
AltspaceVR,2016-03-31,Free,75,60841,01:10
"Warhammer 40,000 : Eternal Crusade",2016-01-26,39.99,30,59088,16:43
Steel Ocean,2015-11-12,Free,32,627346,08:39
The Black Watchmen,2015-08-27,14.99,72,11221,09:41
Immune,2015-03-25,Free,17,74692,03:35
Robocraft,2014-07-08,Free,39,10425201,18:17
Champions of Regnum,2013-02-27,Free,18,399412,08:59
Destiny of Ancient Kingdoms,2016-08-29,Free,23,15955,03:54
The SKIES,2016-04-16,Free,11,671355,01:59
Soccer Manager,2016-02-09,Free,19,142547,05:27
Legend of Dungeon: Masters,2015-11-30,Free,22,102395,00:59
RPG MO,2015-08-18,Free,45,241611,07:00
Red Stone Online,2015-04-01,Free,15,92051,02:16
RIP - Early Access,2014-10-31,7.99,20,64874,03:02
Xam,2014-07-15,Free,N/A,335414,00:30
Heroes & Generals,2014-07-11,Free,28,10385050,12:18
